Date,Open,Close,High,Low,Volume,RSI
08/16/2009,4878.0,4944.0,5074.0,4900.0,3718.0,0.0
08/17/2009,4944.0,4969.0,5240.0,4900.0,5051.0,0.0
08/18/2009,4969.0,4950.0,5049.0,4940.0,769.0,0.0
08/19/2009,4950.0,4901.0,5000.0,4901.0,1317.0,0.0
08/20/2009,4901.0,4905.0,4950.0,4904.0,1880.0,0.0
08/23/2009,4905.0,4800.0,5110.0,4775.0,3222.0,0.0
08/24/2009,4800.0,4700.0,4800.0,4650.0,1143.0,0.0
08/25/2009,4700.0,4410.0,4695.0,4356.0,2213.0,0.0
08/26/2009,4410.0,4650.0,4759.0,4498.0,3737.0,0.0
08/27/2009,4650.0,4550.0,4670.0,4550.0,1340.0,0.0
08/30/2009,4550.0,4433.0,4615.0,4400.0,741.0,0.0
08/31/2009,4433.0,4350.0,4406.0,4300.0,1859.0,0.0
09/01/2009,4350.0,4270.0,4299.0,4200.0,3318.0,0.0
09/02/2009,4270.0,4300.0,4325.0,4200.0,2295.0,0.0
09/06/2009,4300.0,4300.0,4315.0,4285.0,6263.0,27.91
09/07/2009,4300.0,4251.0,4302.0,4200.0,5963.0,26.83
09/08/2009,4251.0,2652.0,2652.0,2600.0,340.0,11.36
09/09/2009,2652.0,2680.0,2781.0,2675.0,3275.0,12.3
09/10/2009,2680.0,2701.0,2720.0,2650.0,2109.0,13.06
09/13/2009,2701.0,2700.0,2710.0,2680.0,1475.0,13.06
09/14/2009,2700.0,2761.0,2775.0,2696.0,1094.0,15.5
09/15/2009,2761.0,2800.0,2816.0,2776.0,2077.0,17.12
09/16/2009,2800.0,2820.0,2821.0,2790.0,1748.0,17.98
09/17/2009,2820.0,2800.0,2830.0,2798.0,1658.0,17.78
09/20/2009,2800.0,2820.0,2825.0,2800.0,924.0,18.75
09/22/2009,2820.0,2845.0,2876.0,2830.0,1055.0,20.02
09/23/2009,2845.0,2825.0,2900.0,2825.0,2086.0,19.76
09/24/2009,2825.0,2800.0,2830.0,2800.0,454.0,19.41
10/04/2009,2800.0,2850.0,2860.0,2850.0,157.0,22.34
10/05/2009,2850.0,2856.0,2875.0,2795.0,926.0,22.71
10/06/2009,2856.0,2830.0,2838.0,2800.0,388.0,22.22
10/07/2009,2830.0,2800.0,2830.0,2790.0,1551.0,21.65
10/08/2009,2800.0,2800.0,2835.0,2800.0,359.0,21.65
10/11/2009,2800.0,2807.0,2815.0,2807.0,291.0,22.19
10/12/2009,2807.0,2799.0,2814.0,2799.0,2215.0,22.0
10/13/2009,2799.0,2765.0,2810.0,2765.0,1145.0,21.18
10/14/2009,2765.0,2830.0,2830.0,2800.0,672.0,26.82
10/15/2009,2830.0,2880.0,2880.0,2820.0,1061.0,30.92
10/21/2009,2880.0,2835.0,2855.0,2830.0,284.0,29.33
10/22/2009,2835.0,2850.0,2856.0,2800.0,787.0,30.61
10/25/2009,2850.0,2837.0,2855.0,2811.0,1514.0,30.1
10/26/2009,2837.0,2800.0,2810.0,2799.0,1724.0,28.64
10/27/2009,2800.0,2801.0,2805.0,2785.0,302.0,28.74
10/28/2009,2801.0,2770.0,2810.0,2740.0,706.0,27.45
10/29/2009,2770.0,2700.0,2770.0,2700.0,1017.0,24.74
11/01/2009,2700.0,2646.0,2700.0,2646.0,332.0,22.86
11/02/2009,2646.0,2550.0,2610.0,2500.0,368.0,19.97
11/03/2009,2550.0,2653.0,2653.0,2550.0,298.0,30.19
11/04/2009,2653.0,2760.0,2760.0,2660.0,499.0,38.91
11/05/2009,2760.0,2805.0,2811.0,2760.0,986.0,42.18
11/08/2009,2805.0,2825.0,2840.0,2810.0,1100.0,43.63
11/09/2009,2825.0,2785.0,2860.0,2785.0,1844.0,41.4
11/10/2009,2785.0,2800.0,2800.0,2775.0,711.0,42.58
11/11/2009,2800.0,2750.0,2780.0,2750.0,90.0,39.7
11/12/2009,2750.0,2630.0,2695.0,2580.0,718.0,33.79
11/15/2009,2630.0,2700.0,2700.0,2600.0,1000.0,39.45
11/16/2009,2700.0,2650.0,2672.0,2620.0,633.0,37.02
11/17/2009,2650.0,2655.0,2700.0,2655.0,230.0,37.43
11/18/2009,2655.0,2660.0,2660.0,2650.0,323.0,37.88
11/19/2009,2660.0,2690.0,2703.0,2690.0,372.0,40.59
11/22/2009,2690.0,2700.0,2700.0,2651.0,597.0,41.5
11/23/2009,2700.0,2700.0,2700.0,2690.0,228.0,41.5
11/24/2009,2700.0,2670.0,2700.0,2650.0,694.0,39.39
11/25/2009,2670.0,2675.0,2680.0,2670.0,524.0,39.94
11/26/2009,2675.0,2582.0,2703.0,2582.0,706.0,33.81
11/30/2009,2582.0,2590.0,2590.0,2540.0,595.0,34.73
12/01/2009,2590.0,2555.0,2555.0,2489.0,1062.0,32.58
12/03/2009,2555.0,2570.0,2570.0,2490.0,491.0,34.46
12/06/2009,2570.0,2610.0,2610.0,2500.0,815.0,39.31
12/07/2009,2610.0,2606.0,2606.0,2558.0,182.0,38.99
12/08/2009,2606.0,2645.0,2645.0,2610.0,227.0,43.67
12/09/2009,2645.0,2640.0,2695.0,2640.0,166.0,43.21
12/10/2009,2640.0,2670.0,2692.0,2670.0,147.0,46.81
12/13/2009,2670.0,2665.0,2665.0,2640.0,447.0,46.28
12/14/2009,2665.0,2679.0,2685.0,2660.0,632.0,48.04
12/15/2009,2679.0,2590.0,2650.0,2590.0,667.0,39.24
12/16/2009,2590.0,2583.0,2600.0,2550.0,619.0,38.64
12/17/2009,2583.0,2580.0,2581.0,2550.0,788.0,38.37
12/20/2009,2580.0,2580.0,2580.0,2580.0,122.0,38.37
12/21/2009,2580.0,2550.0,2550.0,2550.0,179.0,35.48
12/22/2009,2550.0,2575.0,2575.0,2545.0,551.0,39.56
12/23/2009,2575.0,2660.0,2660.0,2600.0,3493.0,50.92
12/24/2009,2660.0,2665.0,2665.0,2665.0,92.0,51.49
12/27/2009,2665.0,2680.0,2680.0,2680.0,20.0,53.27
12/28/2009,2680.0,2722.0,2733.0,2700.0,334.0,57.92
12/29/2009,2722.0,2720.0,2750.0,2700.0,2913.0,57.62
12/31/2009,2720.0,2725.0,2725.0,2680.0,646.0,58.19
01/03/2010,2725.0,2670.0,2730.0,2670.0,355.0,50.18
01/04/2010,2670.0,2597.0,2670.0,2597.0,333.0,41.93
01/05/2010,2597.0,2575.0,2588.0,2540.0,2031.0,39.81
01/06/2010,2575.0,2650.0,2650.0,2560.0,534.0,49.25
01/07/2010,2650.0,2570.0,2620.0,2570.0,401.0,41.73
01/10/2010,2570.0,2626.0,2626.0,2565.0,477.0,47.74
01/11/2010,2626.0,2600.0,2625.0,2600.0,400.0,45.4
01/12/2010,2600.0,2570.0,2571.0,2525.0,356.0,42.79
01/13/2010,2570.0,2601.0,2601.0,2531.0,279.0,46.23
01/14/2010,2601.0,2600.0,2600.0,2500.0,1247.0,46.14
01/18/2010,2600.0,2502.0,2575.0,2500.0,598.0,37.82
01/19/2010,2502.0,2470.0,2470.0,2450.0,293.0,35.56
01/20/2010,2470.0,2500.0,2500.0,2451.0,288.0,39.22
01/21/2010,2500.0,2420.0,2451.0,2410.0,840.0,33.72
01/24/2010,2420.0,2400.0,2430.0,2390.0,469.0,32.5
01/25/2010,2400.0,2366.0,2366.0,2320.0,950.0,30.47
01/26/2010,2366.0,2340.0,2340.0,2300.0,430.0,28.98
01/27/2010,2340.0,2325.0,2325.0,2294.0,342.0,28.12
01/28/2010,2325.0,2460.0,2460.0,2330.0,115.0,44.1
01/31/2010,2460.0,2473.0,2473.0,2410.0,376.0,45.36
02/01/2010,2473.0,2415.0,2460.0,2415.0,799.0,40.93
02/02/2010,2415.0,2415.0,2462.0,2402.0,346.0,40.93
