Date,Open,Close,High,Low,Volume,RSI
07/13/2014,0.0,306.0,306.0,306.0,11.0,0.0
07/14/2014,306.0,324.0,324.0,312.0,40.0,0.0
07/15/2014,324.0,336.0,336.0,330.0,22.0,0.0
07/17/2014,336.0,352.0,352.0,352.0,10.0,0.0
07/20/2014,352.0,369.0,369.0,369.0,10.0,0.0
07/22/2014,369.0,404.0,404.0,376.0,50.0,0.0
07/23/2014,404.0,428.0,428.0,412.0,30.0,0.0
07/24/2014,428.0,470.0,470.0,436.0,216.0,0.0
07/30/2014,470.0,488.0,488.0,479.0,105.0,0.0
07/31/2014,488.0,497.0,497.0,497.0,19.0,0.0
08/03/2014,497.0,541.0,541.0,521.0,52.0,0.0
08/04/2014,541.0,595.0,595.0,551.0,88.0,0.0
08/05/2014,595.0,642.0,642.0,606.0,44.0,0.0
08/06/2014,642.0,706.0,706.0,654.0,1816.0,0.0
08/07/2014,706.0,750.0,765.0,706.0,29164.0,0.0
08/12/2014,750.0,775.0,779.0,740.0,12376.0,0.0
08/13/2014,775.0,772.0,780.0,755.0,11270.0,99.53
08/14/2014,772.0,751.0,764.0,745.0,7896.0,96.1
08/18/2014,751.0,710.0,751.0,700.0,6394.0,89.62
08/19/2014,710.0,719.0,722.0,700.0,5855.0,89.79
08/20/2014,719.0,701.0,715.0,688.0,4859.0,86.85
08/21/2014,701.0,689.0,689.0,645.0,4349.0,84.86
08/24/2014,689.0,670.0,699.0,657.0,3226.0,81.67
08/25/2014,670.0,620.0,670.0,605.0,2945.0,73.8
08/26/2014,620.0,622.0,644.0,610.0,4164.0,73.9
08/27/2014,622.0,660.0,670.0,632.0,3426.0,75.94
08/28/2014,660.0,681.0,691.0,660.0,2421.0,77.01
08/31/2014,681.0,658.0,690.0,644.0,3734.0,73.18
09/01/2014,658.0,647.0,655.0,605.0,3783.0,71.35
09/03/2014,647.0,635.0,655.0,598.0,2737.0,69.32
09/04/2014,635.0,624.0,625.0,600.0,3897.0,67.42
09/07/2014,624.0,585.0,622.0,580.0,1096.0,61.04
09/09/2014,585.0,606.0,615.0,574.0,2883.0,63.07
09/10/2014,606.0,605.0,630.0,593.0,7050.0,62.9
09/11/2014,605.0,602.0,602.0,569.0,1977.0,62.36
09/14/2014,602.0,583.0,600.0,570.0,2158.0,58.94
09/15/2014,583.0,575.0,600.0,565.0,1266.0,57.51
09/16/2014,575.0,594.0,603.0,576.0,1370.0,59.99
09/17/2014,594.0,582.0,594.0,580.0,2786.0,57.7
09/18/2014,582.0,580.0,580.0,575.0,115.0,57.31
09/21/2014,577.0,550.0,575.0,546.0,3171.0,52.13
09/22/2014,550.0,560.0,605.0,544.0,2743.0,53.8
09/23/2014,560.0,580.0,592.0,505.0,2286.0,57.01
09/24/2014,580.0,565.0,575.0,555.0,1805.0,53.98
09/28/2014,565.0,545.0,570.0,514.0,2120.0,50.14
09/29/2014,545.0,586.0,595.0,546.0,2490.0,56.9
09/30/2014,586.0,585.0,603.0,580.0,3547.0,56.7
10/08/2014,585.0,583.0,607.0,579.0,1479.0,56.27
10/09/2014,583.0,580.0,594.0,574.0,2171.0,55.59
10/12/2014,580.0,580.0,585.0,575.0,2731.0,55.59
10/13/2014,580.0,562.0,577.0,555.0,2384.0,51.27
10/14/2014,562.0,580.0,580.0,562.0,2238.0,55.03
10/15/2014,580.0,583.0,590.0,571.0,10544.0,55.65
10/16/2014,583.0,575.0,585.0,570.0,977.0,53.54
10/19/2014,575.0,584.0,584.0,580.0,64.0,55.58
10/21/2014,584.0,575.0,581.0,570.0,2964.0,53.08
10/22/2014,575.0,579.0,590.0,567.0,3075.0,54.07
10/26/2014,579.0,580.0,585.0,569.0,2762.0,54.33
10/27/2014,580.0,585.0,591.0,580.0,6961.0,55.67
10/28/2014,585.0,575.0,584.0,568.0,8981.0,52.35
10/30/2014,575.0,560.0,577.0,555.0,15328.0,47.74
11/02/2014,509.0,501.0,509.0,499.0,209.0,45.44
11/03/2014,501.0,485.0,491.0,482.0,92.0,41.18
11/04/2014,485.0,510.0,510.0,494.0,351.0,49.21
11/05/2014,510.0,520.0,533.0,500.0,1448.0,52.02
11/06/2014,520.0,520.0,529.0,517.0,942.0,52.02
11/09/2014,520.0,510.0,520.0,510.0,159.0,48.88
11/10/2014,510.0,497.0,510.0,495.0,534.0,45.06
11/11/2014,497.0,500.0,500.0,495.0,384.0,46.11
11/12/2014,500.0,486.0,505.0,486.0,904.0,42.08
11/13/2014,486.0,495.0,495.0,490.0,254.0,45.39
11/16/2014,495.0,486.0,490.0,486.0,22.0,42.76
11/17/2014,486.0,472.0,486.0,466.0,279.0,38.98
11/18/2014,472.0,456.0,470.0,456.0,240.0,35.16
11/19/2014,456.0,464.0,473.0,450.0,392.0,38.41
11/20/2014,464.0,473.0,475.0,470.0,1968.0,41.94
11/23/2014,473.0,460.0,488.0,460.0,1393.0,38.51
11/24/2014,460.0,453.0,453.0,453.0,10.0,36.76
11/25/2014,453.0,457.0,457.0,453.0,46.0,38.48
11/30/2014,457.0,455.0,456.0,455.0,20.0,37.93
12/01/2014,455.0,455.0,456.0,451.0,63.0,37.93
12/02/2014,455.0,455.0,455.0,455.0,34.0,37.93
12/03/2014,455.0,460.0,482.0,457.0,1378.0,40.6
12/04/2014,460.0,463.0,470.0,462.0,1680.0,42.2
12/07/2014,463.0,462.0,469.0,460.0,307.0,41.8
12/08/2014,462.0,470.0,479.0,461.0,1011.0,46.25
12/09/2014,470.0,480.0,480.0,473.0,73.0,51.26
12/10/2014,480.0,476.0,484.0,476.0,806.0,49.28
12/11/2014,476.0,470.0,473.0,470.0,142.0,46.38
12/14/2014,470.0,499.0,499.0,479.0,451.0,58.94
12/15/2014,499.0,511.0,511.0,492.0,360.0,62.82
12/16/2014,511.0,501.0,510.0,501.0,627.0,57.91
12/17/2014,501.0,490.0,492.0,490.0,75.0,53.0
12/18/2014,490.0,495.0,499.0,481.0,161.0,54.87
12/21/2014,495.0,495.0,495.0,495.0,10.0,54.87
12/22/2014,495.0,480.0,487.0,480.0,329.0,48.19
