Date,Open,Close,High,Low,Volume,RSI
08/16/2009,960.0,940.0,966.0,931.0,2307.0,0.0
08/17/2009,940.0,934.0,945.0,925.0,1900.0,0.0
08/18/2009,934.0,920.0,933.0,920.0,1613.0,0.0
08/19/2009,920.0,921.0,922.0,910.0,1996.0,0.0
08/20/2009,921.0,906.0,925.0,905.0,1901.0,0.0
08/23/2009,906.0,888.0,915.0,888.0,2150.0,0.0
08/24/2009,888.0,888.0,900.0,868.0,1690.0,0.0
08/25/2009,888.0,850.0,888.0,850.0,8582.0,0.0
08/26/2009,850.0,890.0,921.0,867.0,3532.0,0.0
08/27/2009,890.0,880.0,890.0,875.0,1728.0,0.0
08/30/2009,880.0,855.0,863.0,846.0,753.0,0.0
08/31/2009,855.0,841.0,850.0,825.0,1395.0,0.0
09/01/2009,841.0,814.0,845.0,814.0,2635.0,0.0
09/02/2009,814.0,861.0,865.0,814.0,11773.0,0.0
09/06/2009,861.0,830.0,846.0,814.0,3420.0,32.0
09/07/2009,830.0,810.0,820.0,800.0,3007.0,29.68
09/08/2009,810.0,801.0,824.0,791.0,1653.0,28.67
09/09/2009,801.0,790.0,806.0,790.0,1667.0,27.44
09/10/2009,790.0,770.0,790.0,770.0,1185.0,25.32
09/13/2009,770.0,760.0,770.0,750.0,2343.0,24.3
09/14/2009,760.0,774.0,790.0,765.0,3448.0,28.61
09/15/2009,774.0,780.0,805.0,760.0,2383.0,30.43
09/16/2009,780.0,790.0,800.0,781.0,934.0,33.49
09/17/2009,790.0,790.0,799.0,789.0,1147.0,33.49
09/20/2009,790.0,789.0,790.0,780.0,968.0,33.32
09/22/2009,789.0,800.0,810.0,790.0,1064.0,37.1
09/23/2009,800.0,785.0,795.0,785.0,345.0,34.25
09/24/2009,785.0,785.0,790.0,785.0,656.0,34.25
10/04/2009,785.0,795.0,795.0,780.0,423.0,37.93
10/05/2009,795.0,790.0,800.0,785.0,532.0,36.82
10/06/2009,790.0,781.0,795.0,781.0,739.0,34.84
10/07/2009,781.0,792.0,795.0,780.0,1194.0,39.14
10/08/2009,792.0,790.0,795.0,790.0,627.0,38.64
10/11/2009,790.0,770.0,790.0,770.0,213.0,33.98
10/12/2009,770.0,766.0,772.0,760.0,616.0,33.11
10/13/2009,766.0,761.0,775.0,760.0,625.0,32.02
10/14/2009,761.0,760.0,761.0,760.0,382.0,31.79
10/15/2009,760.0,790.0,790.0,730.0,1667.0,44.46
10/21/2009,790.0,765.0,775.0,765.0,916.0,38.11
10/22/2009,765.0,780.0,780.0,765.0,1180.0,43.34
10/25/2009,780.0,756.0,775.0,756.0,706.0,37.83
10/26/2009,756.0,752.0,754.0,750.0,1453.0,36.99
10/27/2009,752.0,737.0,748.0,737.0,560.0,33.93
10/28/2009,737.0,720.0,723.0,710.0,198.0,30.82
10/29/2009,720.0,692.0,710.0,692.0,979.0,26.51
11/01/2009,692.0,650.0,680.0,634.0,2038.0,21.63
11/02/2009,650.0,677.0,690.0,647.0,1442.0,30.49
11/03/2009,677.0,660.0,666.0,652.0,912.0,28.32
11/04/2009,660.0,670.0,670.0,660.0,132.0,31.42
11/05/2009,670.0,731.0,737.0,683.0,801.0,46.57
11/08/2009,731.0,730.0,740.0,720.0,3522.0,46.39
11/09/2009,730.0,731.0,733.0,725.0,1406.0,46.62
11/10/2009,731.0,735.0,735.0,725.0,750.0,47.56
11/12/2009,735.0,690.0,724.0,690.0,481.0,39.18
11/15/2009,690.0,680.0,690.0,680.0,743.0,37.6
11/16/2009,680.0,704.0,710.0,693.0,3605.0,43.5
11/17/2009,704.0,702.0,708.0,697.0,1809.0,43.14
11/18/2009,702.0,715.0,715.0,705.0,366.0,46.3
11/19/2009,715.0,700.0,705.0,700.0,935.0,43.31
11/22/2009,700.0,690.0,700.0,690.0,492.0,41.38
11/23/2009,690.0,690.0,691.0,686.0,318.0,41.38
11/24/2009,690.0,675.0,699.0,673.0,746.0,38.42
11/25/2009,675.0,675.0,688.0,675.0,378.0,38.42
11/26/2009,675.0,645.0,688.0,645.0,1968.0,32.94
11/30/2009,645.0,608.0,633.0,602.0,2786.0,27.7
12/01/2009,608.0,621.0,625.0,605.0,1000.0,31.81
12/03/2009,621.0,588.0,620.0,584.0,1789.0,27.53
12/06/2009,588.0,576.0,580.0,575.0,735.0,26.16
12/07/2009,576.0,604.0,604.0,582.0,292.0,34.4
12/08/2009,604.0,630.0,630.0,616.0,315.0,40.99
12/10/2009,630.0,642.0,642.0,642.0,55.0,43.79
12/13/2009,642.0,680.0,680.0,654.0,930.0,51.63
12/14/2009,680.0,682.0,682.0,676.0,163.0,52.01
12/15/2009,682.0,675.0,685.0,665.0,863.0,50.52
12/16/2009,675.0,660.0,690.0,660.0,2185.0,47.38
12/17/2009,660.0,680.0,693.0,672.0,2085.0,51.69
12/20/2009,680.0,690.0,693.0,676.0,927.0,53.73
12/21/2009,690.0,697.0,699.0,670.0,1811.0,55.16
12/22/2009,697.0,710.0,719.0,684.0,2145.0,57.77
12/23/2009,710.0,700.0,734.0,700.0,5409.0,55.11
12/24/2009,700.0,700.0,708.0,686.0,8668.0,55.11
12/28/2009,700.0,445.0,450.0,445.0,611.0,23.36
12/29/2009,445.0,470.0,480.0,450.0,1145.0,27.76
12/31/2009,470.0,480.0,480.0,470.0,313.0,29.5
01/04/2010,480.0,470.0,480.0,470.0,413.0,28.75
01/05/2010,470.0,471.0,471.0,471.0,115.0,28.94
01/06/2010,471.0,462.0,471.0,462.0,180.0,28.2
01/07/2010,462.0,450.0,455.0,445.0,967.0,27.2
01/11/2010,450.0,445.0,447.0,445.0,405.0,26.77
01/14/2010,445.0,437.0,440.0,435.0,393.0,26.07
01/17/2010,437.0,434.0,438.0,430.0,359.0,25.79
01/18/2010,434.0,430.0,434.0,430.0,246.0,25.41
01/19/2010,430.0,426.0,430.0,425.0,277.0,25.01
01/20/2010,426.0,430.0,434.0,426.0,431.0,26.26
01/21/2010,430.0,422.0,422.0,422.0,59.0,25.35
01/24/2010,422.0,420.0,422.0,418.0,604.0,25.11
01/25/2010,420.0,421.0,421.0,418.0,614.0,25.48
01/26/2010,421.0,429.0,429.0,423.0,764.0,28.54
01/27/2010,429.0,421.0,426.0,421.0,297.0,27.34
01/28/2010,421.0,420.0,420.0,419.0,69.0,27.18
01/31/2010,420.0,417.0,417.0,417.0,17.0,26.69
02/01/2010,417.0,417.0,417.0,410.0,500.0,26.69
02/02/2010,417.0,415.0,415.0,415.0,115.0,26.32
02/03/2010,415.0,439.0,439.0,423.0,30.0,37.41
02/04/2010,439.0,447.0,447.0,432.0,370.0,40.61
02/07/2010,447.0,423.0,439.0,423.0,232.0,34.84
02/08/2010,423.0,402.0,423.0,402.0,438.0,30.73
02/09/2010,402.0,394.0,395.0,394.0,74.0,29.31
02/10/2010,394.0,412.0,412.0,394.0,713.0,36.43
02/11/2010,412.0,453.0,453.0,415.0,684.0,49.01
02/15/2010,453.0,460.0,460.0,435.0,609.0,50.8
02/16/2010,460.0,430.0,451.0,430.0,119.0,43.72
02/17/2010,430.0,401.0,425.0,401.0,1122.0,38.17
02/18/2010,401.0,402.0,402.0,393.0,192.0,38.47
03/01/2010,402.0,408.0,408.0,408.0,144.0,40.27
03/02/2010,408.0,416.0,421.0,405.0,1633.0,42.69
03/03/2010,416.0,448.0,448.0,424.0,707.0,51.21
03/04/2010,448.0,417.0,448.0,417.0,1122.0,44.33
03/07/2010,417.0,409.0,412.0,405.0,407.0,42.74
03/09/2010,409.0,410.0,416.0,410.0,628.0,43.02
03/10/2010,410.0,400.0,403.0,400.0,585.0,40.89
03/11/2010,400.0,411.0,411.0,408.0,340.0,44.16
03/14/2010,411.0,400.0,403.0,400.0,564.0,41.68
03/16/2010,400.0,395.0,395.0,385.0,713.0,40.56
03/17/2010,395.0,400.0,400.0,388.0,587.0,42.23
03/18/2010,400.0,400.0,404.0,400.0,776.0,42.23
03/22/2010,400.0,381.0,392.0,381.0,926.0,37.59
03/23/2010,381.0,380.0,381.0,380.0,318.0,37.36
03/25/2010,380.0,382.0,382.0,375.0,308.0,38.18
03/28/2010,382.0,382.0,382.0,369.0,793.0,38.18
03/29/2010,382.0,394.0,402.0,376.0,650.0,43.36
03/30/2010,394.0,401.0,401.0,401.0,10.0,46.2
04/01/2010,401.0,405.0,415.0,401.0,446.0,47.8
04/04/2010,405.0,399.0,413.0,392.0,410.0,45.6
04/05/2010,399.0,392.0,404.0,392.0,411.0,43.11
04/06/2010,392.0,375.0,387.0,375.0,645.0,37.72
04/07/2010,375.0,375.0,375.0,374.0,123.0,37.72
04/08/2010,375.0,382.0,382.0,375.0,245.0,41.23
04/11/2010,382.0,385.0,389.0,385.0,50.0,42.72
04/12/2010,385.0,394.0,402.0,378.0,854.0,47.06
04/13/2010,394.0,400.0,400.0,390.0,400.0,49.78
04/15/2010,400.0,392.0,392.0,385.0,2031.0,46.35
04/18/2010,392.0,400.0,400.0,395.0,108.0,50.06
04/20/2010,400.0,385.0,393.0,385.0,136.0,43.93
04/21/2010,385.0,378.0,378.0,378.0,12.0,41.38
04/25/2010,378.0,350.0,371.0,350.0,281.0,33.11
04/27/2010,350.0,331.0,343.0,331.0,514.0,28.9
04/28/2010,331.0,332.0,332.0,326.0,463.0,29.41
04/29/2010,332.0,364.0,365.0,326.0,1373.0,43.39
05/09/2010,364.0,345.0,357.0,345.0,129.0,38.51
05/10/2010,345.0,347.0,347.0,335.0,96.0,39.29
05/11/2010,347.0,379.0,379.0,353.0,721.0,50.11
05/12/2010,379.0,398.0,402.0,360.0,2030.0,55.21
05/13/2010,398.0,397.0,430.0,397.0,973.0,54.89
05/16/2010,397.0,370.0,390.0,369.0,793.0,47.01
05/17/2010,370.0,371.0,371.0,360.0,572.0,47.32
05/18/2010,371.0,392.0,392.0,375.0,295.0,53.32
05/19/2010,392.0,406.0,406.0,389.0,908.0,56.86
05/20/2010,406.0,404.0,412.0,404.0,2157.0,56.2
05/23/2010,404.0,394.0,400.0,382.0,656.0,52.92
05/24/2010,394.0,412.0,413.0,387.0,846.0,57.71
05/25/2010,412.0,439.0,443.0,413.0,1812.0,63.67
05/26/2010,439.0,429.0,455.0,422.0,1947.0,60.28
05/30/2010,429.0,467.0,467.0,437.0,540.0,67.39
05/31/2010,467.0,441.0,485.0,433.0,1847.0,59.54
06/01/2010,441.0,413.0,433.0,405.0,1775.0,52.45
06/02/2010,413.0,421.0,421.0,420.0,158.0,54.13
06/03/2010,421.0,429.0,437.0,429.0,990.0,55.81
06/07/2010,429.0,419.0,433.0,415.0,1061.0,53.19
06/08/2010,419.0,431.0,431.0,405.0,1164.0,55.87
06/09/2010,431.0,445.0,445.0,439.0,460.0,58.83
06/10/2010,445.0,437.0,444.0,429.0,2006.0,56.5
06/13/2010,437.0,429.0,429.0,429.0,48.0,54.18
06/14/2010,429.0,413.0,421.0,411.0,443.0,49.79
06/15/2010,413.0,421.0,421.0,421.0,183.0,51.89
06/16/2010,421.0,425.0,425.0,421.0,173.0,52.95
06/17/2010,425.0,420.0,422.0,420.0,580.0,51.42
06/20/2010,420.0,421.0,421.0,421.0,62.0,51.72
06/21/2010,421.0,429.0,429.0,420.0,596.0,54.16
06/23/2010,429.0,421.0,421.0,421.0,115.0,51.37
06/24/2010,421.0,409.0,415.0,409.0,1051.0,47.42
06/28/2010,409.0,405.0,405.0,405.0,422.0,46.15
06/29/2010,405.0,404.0,404.0,397.0,419.0,45.82
06/30/2010,404.0,410.0,412.0,404.0,107.0,48.22
07/01/2010,410.0,450.0,450.0,418.0,592.0,60.71
07/04/2010,450.0,433.0,441.0,433.0,160.0,54.68
07/05/2010,433.0,410.0,425.0,410.0,2585.0,47.75
07/06/2010,410.0,450.0,450.0,418.0,179.0,57.77
07/08/2010,450.0,435.0,441.0,419.0,547.0,53.62
07/12/2010,435.0,418.0,434.0,417.0,2429.0,49.3
07/13/2010,418.0,433.0,433.0,420.0,1122.0,52.9
07/14/2010,433.0,449.0,452.0,425.0,1406.0,56.46
07/15/2010,449.0,444.0,462.0,444.0,605.0,55.06
07/18/2010,444.0,436.0,436.0,436.0,27.0,52.81
07/19/2010,436.0,415.0,428.0,415.0,1453.0,47.32
07/20/2010,415.0,421.0,421.0,405.0,336.0,48.95
07/21/2010,421.0,437.0,437.0,421.0,64.0,53.12
07/26/2010,437.0,416.0,429.0,415.0,649.0,47.62
07/27/2010,416.0,413.0,416.0,409.0,405.0,46.88
07/28/2010,413.0,410.0,415.0,410.0,455.0,46.1
07/29/2010,410.0,417.0,417.0,409.0,259.0,48.26
08/01/2010,417.0,439.0,439.0,415.0,898.0,54.43
08/02/2010,439.0,423.0,435.0,420.0,439.0,49.78
08/03/2010,423.0,412.0,415.0,411.0,1741.0,46.82
08/04/2010,412.0,413.0,418.0,412.0,1053.0,47.13
08/05/2010,413.0,411.0,413.0,410.0,1053.0,46.54
08/08/2010,411.0,410.0,410.0,402.0,941.0,46.24
08/09/2010,410.0,400.0,410.0,400.0,475.0,43.18
08/10/2010,400.0,394.0,395.0,390.0,239.0,41.4
08/11/2010,394.0,401.0,401.0,395.0,73.0,44.28
08/12/2010,401.0,380.0,393.0,380.0,285.0,38.22
08/15/2010,380.0,371.0,374.0,371.0,464.0,35.95
08/16/2010,371.0,373.0,377.0,370.0,706.0,36.84
08/17/2010,373.0,354.0,366.0,354.0,534.0,32.23
08/18/2010,354.0,357.0,360.0,350.0,541.0,33.64
08/19/2010,357.0,351.0,358.0,345.0,1085.0,32.19
08/22/2010,351.0,332.0,351.0,332.0,921.0,28.07
08/23/2010,332.0,337.0,337.0,317.0,1498.0,30.59
08/26/2010,337.0,334.0,334.0,325.0,418.0,29.91
08/29/2010,334.0,330.0,330.0,328.0,343.0,28.99
08/30/2010,330.0,330.0,330.0,322.0,1896.0,28.99
08/31/2010,330.0,313.0,327.0,313.0,1326.0,25.17
09/02/2010,313.0,316.0,319.0,314.0,549.0,27.0
09/05/2010,316.0,298.0,315.0,294.0,1343.0,23.32
09/06/2010,298.0,312.0,312.0,300.0,550.0,31.18
09/07/2010,312.0,315.0,316.0,302.0,1723.0,32.77
09/08/2010,315.0,316.0,316.0,310.0,866.0,33.32
09/09/2010,316.0,315.0,315.0,304.0,769.0,33.03
09/12/2010,315.0,305.0,310.0,305.0,350.0,30.18
09/13/2010,305.0,306.0,306.0,302.0,696.0,30.82
09/14/2010,306.0,307.0,307.0,307.0,50.0,31.5
09/15/2010,307.0,301.0,306.0,300.0,123.0,29.62
09/16/2010,301.0,313.0,313.0,307.0,72.0,37.64
09/19/2010,313.0,312.0,312.0,304.0,528.0,37.26
09/20/2010,312.0,305.0,312.0,305.0,961.0,34.61
09/21/2010,305.0,300.0,305.0,300.0,216.0,32.83
09/23/2010,300.0,312.0,312.0,300.0,1197.0,40.74
09/26/2010,312.0,296.0,306.0,294.0,3639.0,34.84
09/27/2010,296.0,304.0,304.0,300.0,489.0,39.56
09/28/2010,304.0,304.0,304.0,302.0,540.0,39.56
09/29/2010,304.0,296.0,304.0,296.0,1421.0,36.5
09/30/2010,296.0,302.0,304.0,301.0,235.0,40.23
10/03/2010,302.0,302.0,302.0,300.0,550.0,40.23
10/04/2010,302.0,305.0,311.0,300.0,954.0,42.2
10/05/2010,305.0,305.0,305.0,305.0,70.0,42.2
10/06/2010,305.0,307.0,310.0,305.0,5586.0,43.64
10/07/2010,307.0,313.0,313.0,307.0,219.0,47.83
10/10/2010,313.0,320.0,320.0,315.0,266.0,52.29
10/11/2010,320.0,320.0,320.0,320.0,352.0,52.29
10/12/2010,320.0,320.0,320.0,319.0,117.0,52.29
10/13/2010,320.0,320.0,320.0,320.0,517.0,52.29
10/20/2010,320.0,332.0,332.0,326.0,157.0,60.14
10/21/2010,332.0,338.0,338.0,338.0,200.0,63.39
10/24/2010,338.0,356.0,371.0,338.0,1978.0,71.01
10/25/2010,356.0,339.0,356.0,339.0,524.0,58.6
10/26/2010,339.0,329.0,335.0,329.0,355.0,52.76
10/27/2010,329.0,330.0,330.0,330.0,96.0,53.26
10/28/2010,330.0,330.0,330.0,330.0,119.0,53.26
10/31/2010,330.0,325.0,330.0,324.0,160.0,50.17
11/01/2010,325.0,328.0,328.0,325.0,278.0,51.97
11/02/2010,328.0,336.0,336.0,330.0,170.0,56.49
11/09/2010,336.0,330.0,330.0,330.0,174.0,52.5
11/11/2010,330.0,333.0,333.0,325.0,2601.0,54.24
11/14/2010,333.0,330.0,330.0,327.0,158.0,52.18
11/15/2010,330.0,327.0,327.0,325.0,651.0,50.13
11/16/2010,327.0,333.0,333.0,328.0,214.0,54.02
11/18/2010,333.0,333.0,333.0,333.0,155.0,54.02
11/21/2010,333.0,335.0,335.0,333.0,477.0,55.37
11/22/2010,335.0,325.0,330.0,325.0,579.0,47.83
11/23/2010,325.0,319.0,319.0,319.0,20.0,43.97
11/24/2010,319.0,328.0,328.0,314.0,452.0,50.44
11/25/2010,328.0,319.0,322.0,316.0,371.0,44.86
11/28/2010,319.0,322.0,322.0,322.0,45.0,46.96
11/29/2010,322.0,318.0,322.0,318.0,64.0,44.52
11/30/2010,318.0,298.0,312.0,298.0,702.0,34.79
12/01/2010,298.0,304.0,304.0,300.0,809.0,39.09
12/02/2010,304.0,306.0,306.0,304.0,1186.0,40.5
12/05/2010,306.0,304.0,310.0,304.0,1138.0,39.51
12/06/2010,304.0,306.0,310.0,305.0,1796.0,41.06
12/07/2010,306.0,302.0,302.0,299.0,566.0,38.92
12/08/2010,302.0,307.0,307.0,303.0,308.0,42.92
12/09/2010,307.0,311.0,311.0,309.0,1517.0,45.97
12/12/2010,311.0,308.0,310.0,308.0,390.0,44.07
12/13/2010,308.0,305.0,311.0,305.0,1787.0,42.19
12/14/2010,305.0,302.0,306.0,299.0,692.0,40.34
12/15/2010,302.0,300.0,302.0,300.0,132.0,39.1
12/16/2010,300.0,301.0,301.0,300.0,195.0,40.09
12/19/2010,301.0,301.0,307.0,301.0,247.0,40.09
12/20/2010,301.0,300.0,302.0,296.0,1093.0,39.35
12/22/2010,300.0,311.0,311.0,300.0,366.0,50.22
12/23/2010,311.0,310.0,316.0,310.0,524.0,49.35
12/26/2010,310.0,305.0,305.0,305.0,214.0,45.16
12/27/2010,305.0,311.0,315.0,311.0,401.0,50.59
12/28/2010,311.0,292.0,305.0,292.0,1121.0,37.82
12/29/2010,292.0,294.0,295.0,293.0,297.0,39.55
01/02/2011,294.0,295.0,295.0,290.0,1160.0,40.44
01/03/2011,295.0,300.0,300.0,295.0,1261.0,44.83
01/04/2011,300.0,300.0,300.0,300.0,163.0,44.83
01/05/2011,300.0,294.0,300.0,294.0,629.0,40.66
01/06/2011,294.0,296.0,296.0,295.0,286.0,42.58
01/09/2011,296.0,295.0,298.0,295.0,195.0,41.85
01/10/2011,295.0,298.0,299.0,298.0,347.0,44.89
01/11/2011,298.0,302.0,302.0,298.0,432.0,48.74
01/12/2011,302.0,298.0,298.0,298.0,199.0,45.33
01/13/2011,298.0,307.0,307.0,296.0,560.0,53.25
01/16/2011,307.0,300.0,310.0,300.0,555.0,47.49
01/17/2011,300.0,305.0,306.0,304.0,523.0,51.53
01/18/2011,305.0,300.0,300.0,295.0,1506.0,47.59
01/19/2011,300.0,304.0,304.0,299.0,637.0,50.83
01/20/2011,304.0,304.0,304.0,304.0,221.0,50.83
01/23/2011,304.0,310.0,310.0,304.0,707.0,55.6
01/24/2011,310.0,328.0,328.0,310.0,218.0,66.2
01/31/2011,328.0,316.0,322.0,316.0,94.0,56.51
02/01/2011,316.0,312.0,316.0,306.0,1145.0,53.69
02/02/2011,312.0,305.0,307.0,305.0,492.0,49.08
02/03/2011,305.0,305.0,305.0,305.0,26.0,49.08
02/06/2011,305.0,312.0,316.0,311.0,1712.0,53.69
02/07/2011,312.0,304.0,306.0,304.0,377.0,48.3
02/08/2011,304.0,299.0,303.0,298.0,725.0,45.25
02/09/2011,299.0,295.0,300.0,295.0,553.0,42.91
02/10/2011,295.0,296.0,296.0,294.0,60.0,43.69
02/13/2011,296.0,286.0,296.0,282.0,2372.0,38.06
02/14/2011,286.0,286.0,286.0,282.0,487.0,38.06
02/15/2011,286.0,295.0,295.0,286.0,397.0,45.4
02/16/2011,295.0,301.0,301.0,299.0,403.0,49.69
02/17/2011,301.0,303.0,303.0,298.0,197.0,51.06
02/20/2011,303.0,290.0,302.0,289.0,3332.0,42.85
02/21/2011,290.0,289.0,294.0,289.0,2457.0,42.29
02/22/2011,289.0,290.0,294.0,290.0,378.0,43.09
02/23/2011,290.0,289.0,289.0,285.0,319.0,42.45
02/24/2011,289.0,285.0,285.0,285.0,244.0,39.91
02/27/2011,285.0,280.0,280.0,275.0,286.0,36.92
02/28/2011,280.0,271.0,281.0,270.0,2034.0,32.25
03/01/2011,271.0,272.0,272.0,270.0,192.0,33.27
03/03/2011,272.0,275.0,292.0,270.0,1477.0,36.33
03/07/2011,275.0,272.0,280.0,272.0,485.0,34.62
03/09/2011,272.0,269.0,270.0,269.0,746.0,32.94
03/10/2011,269.0,272.0,272.0,267.0,927.0,36.27
03/13/2011,272.0,276.0,277.0,271.0,881.0,40.49
03/14/2011,276.0,273.0,278.0,273.0,860.0,38.43
03/15/2011,273.0,251.0,270.0,251.0,324.0,27.42
03/16/2011,251.0,255.0,255.0,243.0,2081.0,31.28
